request_id,request_date,customer_response,internal_status
1,2025-04-01,"Thank you for your inquiry on April 01, 2025.

QUOTE SUMMARY:
• Item: Glossy paper
• Quantity: 200
• Unit Price: $0.20
• Total Price: $40.00

AVAILABILITY: In stock and ready for immediate fulfillment.
Your order can be processed immediately.

PRICING INFORMATION:
• Standard pricing applies to your order
• Bulk discounts available for orders exceeding 500 units

DELIVERY:
• Standard delivery: 3-5 business days
• Rush delivery available upon request

Thank you for choosing Munder Difflin Paper Company!
If you have any questions, please don't hesitate to contact us.",processed
2,2025-04-03,"Thank you for your inquiry on April 03, 2025.

QUOTE SUMMARY:
• Item: Paper pl
• Quantity: 500
• Unit Price: $0.10
• Total Price: $50.00

AVAILABILITY: In stock and ready for immediate fulfillment.
Your order can be processed immediately.

PRICING INFORMATION:
• Standard pricing applies to your order
• Bulk discounts available for orders exceeding 500 units

DELIVERY:
• Standard delivery: 3-5 business days
• Rush delivery available upon request

Thank you for choosing Munder Difflin Paper Company!
If you have any questions, please don't hesitate to contact us.",processed
3,2025-04-04,"Thank you for your inquiry on April 04, 2025.

QUOTE SUMMARY:
• Item: A4 paper
• Quantity: 10
• Unit Price: $0.05
• Total Price: $0.00

AVAILABILITY: In stock and ready for immediate fulfillment.
Your order can be processed immediately.

PRICING INFORMATION:
• Standard pricing applies to your order
• Bulk discounts available for orders exceeding 500 units

DELIVERY:
• Standard delivery: 3-5 business days
• Rush delivery available upon request

Thank you for choosing Munder Difflin Paper Company!
If you have any questions, please don't hesitate to contact us.",processed
4,2025-04-05,"Thank you for your inquiry on April 05, 2025.

QUOTE SUMMARY:
• Item: Cardstock
• Quantity: 500
• Unit Price: $0.15
• Total Price: $75.00

AVAILABILITY: In stock and ready for immediate fulfillment.
Your order can be processed immediately.

PRICING INFORMATION:
• Standard pricing applies to your order
• Bulk discounts available for orders exceeding 500 units

DELIVERY:
• Standard delivery: 3-5 business days
• Rush delivery available upon request

Thank you for choosing Munder Difflin Paper Company!
If you have any questions, please don't hesitate to contact us.",processed
5,2025-04-05,"Thank you for your inquiry on April 05, 2025.

We regret to inform you that we are unable to fulfill your request at this time.

REASON: Insufficient inventory
• Requested: 500 units of Cardstock
• Currently available: 95 units
• We apologize for any inconvenience this may cause

ALTERNATIVES:
• We can fulfill a partial order of 95 units
• We can place a special order for future delivery
• We can suggest alternative products with similar specifications

Please contact our customer service team to discuss these options.
Thank you for your understanding.",processed
6,2025-04-06,"Thank you for your inquiry on April 06, 2025.

We regret to inform you that we are unable to fulfill your request at this time.

REASON: Insufficient inventory
• Requested: 500 units of Cardstock
• Currently available: 95 units
• We apologize for any inconvenience this may cause

ALTERNATIVES:
• We can fulfill a partial order of 95 units
• We can place a special order for future delivery
• We can suggest alternative products with similar specifications

Please contact our customer service team to discuss these options.
Thank you for your understanding.",processed
7,2025-04-07,"Thank you for your inquiry on April 07, 2025.

We regret to inform you that we are unable to fulfill your request at this time.

REASON: Insufficient inventory
• Requested: 500 units of Cardstock
• Currently available: 95 units
• We apologize for any inconvenience this may cause

ALTERNATIVES:
• We can fulfill a partial order of 95 units
• We can place a special order for future delivery
• We can suggest alternative products with similar specifications

Please contact our customer service team to discuss these options.
Thank you for your understanding.",processed
8,2025-04-07,"Thank you for your inquiry on April 07, 2025.

We regret to inform you that we are unable to fulfill your request at this time.

REASON: Insufficient inventory
• Requested: 500 units of Glossy paper
• Currently available: 387 units
• We apologize for any inconvenience this may cause

ALTERNATIVES:
• We can fulfill a partial order of 387 units
• We can place a special order for future delivery
• We can suggest alternative products with similar specifications

Please contact our customer service team to discuss these options.
Thank you for your understanding.",processed
9,2025-04-07,"Thank you for your inquiry on April 07, 2025.

QUOTE SUMMARY:
• Item: Glossy paper
• Quantity: 200
• Unit Price: $0.20
• Total Price: $40.00

AVAILABILITY: In stock and ready for immediate fulfillment.
Your order can be processed immediately.

PRICING INFORMATION:
• Standard pricing applies to your order
• Bulk discounts available for orders exceeding 500 units

DELIVERY:
• Standard delivery: 3-5 business days
• Rush delivery available upon request

Thank you for choosing Munder Difflin Paper Company!
If you have any questions, please don't hesitate to contact us.",processed
13,2025-04-08,"Thank you for your inquiry on April 08, 2025.

We regret to inform you that we are unable to fulfill your request at this time.

REASON: Insufficient inventory
• Requested: 500 units of Cardstock
• Currently available: 95 units
• We apologize for any inconvenience this may cause

ALTERNATIVES:
• We can fulfill a partial order of 95 units
• We can place a special order for future delivery
• We can suggest alternative products with similar specifications

Please contact our customer service team to discuss these options.
Thank you for your understanding.",processed
